ticker,fyear,currency,revt,cogs,xsga,dp,xint,txt,ni,epspx,che,invt,at,lct,dltt,dlc,ceq,oancf,capx,prstkc,csho,prcc_f,store_count,sss_growth,pulled_at
DOL.TO,2022,CAD,4330.76,2428.54,950.79,297.96,88.9,230.23,663.17,2.18,71.06,590.93,4063.56,911.89,1539.24,347.06,-66.03,1159.22,159.51,1059.92,292.8136,78.48,1541,9.5,2026-03-15 16:12:26
DOL.TO,2023,CAD,5052.74,2854.53,1052.1,331.79,121.58,274.24,801.86,2.76,101.26,957.17,4819.66,1162.87,1741.59,510.31,28.41,869.04,156.83,689.0,284.5056,94.93,1582,5.2,2026-03-15 16:12:26
DOL.TO,2024,CAD,5867.35,3253.91,1193.01,365.44,167.22,340.42,1010.46,3.56,313.92,916.81,5263.61,677.85,2242.93,21.46,380.85,1530.95,278.76,655.87,278.7606,139.86,1607,4.8,2026-03-15 16:12:26
DOL.TO,2025,CAD,6413.15,3519.4,1312.97,411.15,187.45,378.35,1168.55,4.16,122.69,921.1,6482.59,1014.31,2008.91,273.77,1188.26,1644.14,246.87,1090.71,277.1773,205.03,1616,4.5,2026-03-15 16:12:26
DLTR,2022,USD,26321.2,18583.9,5925.9,716.0,178.9,304.3,1327.9,5.8,984.9,4367.3,21721.8,4176.6,3417.0,0.0,7718.5,1431.5,1022.8,950.0,225.1002,141.44,0,0.0,2026-03-15 16:12:27
DLTR,2023,USD,15411.5,9630.2,3682.0,365.3,127.2,471.6,1615.4,7.21,642.8,5449.3,23022.1,4225.2,3421.6,0.0,8751.5,1614.8,643.7,647.5,221.223,142.05,0,0.0,2026-03-15 16:12:27
DLTR,2024,USD,16781.1,10761.4,4245.2,400.5,112.5,396.1,-998.4,-4.55,425.2,2495.8,22023.5,4696.7,3426.3,0.0,7313.1,2684.5,1194.8,500.0,217.9072,74.94,0,0.0,2026-03-15 16:12:27
DLTR,2025,USD,17578.5,11284.1,4832.4,526.9,107.5,341.1,-3030.1,-14.05,1256.5,2672.0,18644.0,8585.9,2431.2,1000.0,3977.4,2862.5,1300.5,400.0,215.078,123.01,0,0.0,2026-03-15 16:12:27
DG,2022,USD,34220.45,23407.44,7592.33,641.32,157.53,663.92,2399.23,10.17,344.83,5614.32,26327.37,5979.36,4172.07,0.0,6261.99,2865.81,1070.46,2549.67,230.016,231.15,0,0.0,2026-03-15 16:12:28
DG,2023,USD,37844.86,26024.76,8491.8,724.88,211.27,700.62,2415.99,10.68,381.58,6760.73,29083.37,5887.77,7009.4,0.0,5541.77,1984.56,1560.58,2748.01,219.105,129.42,0,0.0,2026-03-15 16:12:28
DG,2024,USD,38691.61,26972.58,9272.72,848.79,326.78,458.25,1661.27,7.55,537.28,6994.27,30795.59,6725.7,6231.54,768.64,6749.12,2391.8,1700.22,0.0,219.663,73.61,0,0.0,2026-03-15 16:12:28
DG,2025,USD,40612.31,28594.81,10303.42,971.7,274.32,314.5,1125.25,5.11,932.58,6711.24,31132.73,6868.7,5719.02,519.46,7413.71,2996.06,1309.89,0.0,219.939,132.21,0,0.0,2026-03-15 16:12:28
